setting,seed,method,accuracy,macro_f1,weighted_f1,n_param_updates,adapt_time_s,mean_forgetting,avg_post_event_rolling_accuracy
no_update,52,no_update,0.5524861878453039,0.32349302372633737,0.5837992191905391,0,0.0,0.0,0.65
no_update,62,no_update,0.5060773480662983,0.3085290083111434,0.5583963322727632,0,0.0,0.0,0.6
full_lora,42,full_retrain,0.6154696132596685,0.3604132082392952,0.6054176890592937,28,44.907888889312744,0.0,0.39
full_lora,52,full_retrain,0.6961325966850829,0.49491713121985104,0.737895910843121,28,44.952261209487915,0.0,0.605
full_lora,62,full_retrain,0.6994475138121546,0.52829251943787,0.7634773689163636,28,44.85833930969238,0.0,0.685
oracle,42,oracle,0.8353591160220994,0.5625896213948968,0.835860308634698,8,82.00951433181763,0.0,0.784
oracle,52,oracle,0.8165745856353591,0.5446095369325605,0.8164904524179193,8,82.0251214504242,0.0,0.754
oracle,62,oracle,0.7977900552486188,0.548804891606448,0.8054418609888654,8,81.88677215576172,0.0,0.67
no_ewc,42,selective,0.6232044198895028,0.38064850963623975,0.6259599896877462,8,44.09323191642761,0.0,0.41
no_ewc,52,selective,0.7160220994475138,0.5273449714078359,0.7657212378571443,8,44.193055391311646,0.0,0.635
no_ewc,62,selective,0.7027624309392265,0.5306545950742348,0.7692713875481482,8,44.1946074962616,0.0,0.6950000000000001
topk4,42,selective,0.5779005524861879,0.29830081719528806,0.55046289867662,4,29.095573663711548,0.0,0.72
topk4,52,selective,0.7248618784530386,0.5423862111600883,0.7767057917451863,4,43.43872594833374,0.0,0.645
topk4,62,selective,0.7082872928176795,0.5359508799310019,0.7750344088493092,4,44.069284439086914,0.0,0.7050000000000001
topk16,42,selective,0.6187845303867403,0.36832957817287926,0.6140586285571409,16,44.202903270721436,0.0,0.39999999999999997
topk16,52,selective,0.7093922651933702,0.514308208541296,0.7573723781826245,16,44.46005058288574,0.0,0.62
topk16,62,selective,0.7027624309392265,0.5317994033299803,0.7689749524398165,16,44.43786668777466,0.0,0.6950000000000001
replay128,42,selective,0.8077348066298342,0.5875650406297082,0.8514173747272453,8,31.23285484313965,0.0,0.8200000000000001
replay128,52,selective,0.7756906077348066,0.5717146363230701,0.823833751211106,8,30.664822340011597,0.0,0.76
replay128,62,selective,0.7337016574585635,0.555211749116768,0.7983731838709209,8,31.18478536605835,0.0,0.745
replay0,42,selective,0.569060773480663,0.332478611497067,0.5982844648202756,0,0.0,0.0,0.72
replay0,52,selective,0.5524861878453039,0.32349302372633737,0.5837992191905391,0,0.0,0.0,0.65
replay0,62,selective,0.5060773480662983,0.3085290083111434,0.5583963322727632,0,0.0,0.0,0.6
mmd002,42,selective,0.6232044198895028,0.3808248595454131,0.6263565631781962,8,44.036837100982666,0.0,0.41
mmd002,52,selective,0.7160220994475138,0.5273449714078359,0.7657212378571443,8,44.21522784233093,0.0,0.63
mmd002,62,selective,0.7038674033149172,0.5317645447698172,0.7705235481164949,8,44.22720503807068,0.0,0.6950000000000001
selective_ewc,42,selective,0.6232044198895028,0.3808248595454131,0.6263565631781962,8,43.95503377914429,0.0,0.41
selective_ewc,52,selective,0.7160220994475138,0.5273449714078359,0.7657212378571443,8,44.19094491004944,0.0,0.63
selective_ewc,62,selective,0.7038674033149172,0.5317645447698172,0.7705235481164949,8,44.20043992996216,0.0,0.6950000000000001
no_update,42,no_update,0.5691,0.3325,0.5983,0,0.0,0.0,
